agent,ann_tflops,ann_epochs,pcn_tflops,pcn_epochs,ann_train_acc,ann_train_flops,ann_test_acc,ann_test_flops,pcn_train_acc,pcn_train_flops,pcn_test_acc,pcn_test_flops
0,157905000.0,500.0,1081406154.0,210.0,0.7090909090909091,107471,0.75,39081,0.8727272727272727,83464001,0.875,29600889
1,157905000.0,500.0,1093761010.0,210.0,0.7363636363636363,107471,0.775,39081,0.8454545454545455,66453514,0.875,20203442
2,157905000.0,500.0,1077907886.0,210.0,0.7545454545454545,107471,0.8,39081,0.8272727272727273,58085730,0.975,17663275
3,157905000.0,500.0,1079036098.0,210.0,0.7090909090909091,107471,0.775,39081,0.8363636363636363,43831239,0.9,11755440
4,157905000.0,500.0,1104809749.0,210.0,0.7545454545454545,107471,0.825,39081,0.8727272727272727,73098685,0.875,22385037
5,157905000.0,500.0,1039800268.0,210.0,0.7818181818181819,107471,0.825,39081,0.8545454545454545,42469535,0.85,15048568
6,157905000.0,500.0,1096362139.0,210.0,0.7909090909090909,107471,0.875,39081,0.8454545454545455,67082526,0.9,20519651
7,157905000.0,500.0,1074231183.0,210.0,0.7636363636363637,107471,0.825,39081,0.8727272727272727,50582094,0.825,13250772
8,157905000.0,500.0,1064102194.0,210.0,0.7363636363636363,107471,0.775,39081,0.8909090909090909,75074078,0.9,27021831
9,157905000.0,500.0,1028998784.0,210.0,0.7090909090909091,107471,0.75,39081,0.8727272727272727,30099949,0.8,10565084
