pcn_acc0,pcn_acc1,pcn_acc2,pcn_acc3,pcn_acc4,pcn_acc5,pcn_acc6,pcn_acc7,pcn_acc8,pcn_acc9,pcn_flop0,pcn_flop1,pcn_flop2,pcn_flop3,pcn_flop4,pcn_flop5,pcn_flop6,pcn_flop7,pcn_flop8,pcn_flop9
0.725,0.725,0.625,0.675,0.6,0.725,0.65,0.65,0.625,0.45,1319540,1694193,1454707,1655936,1235286,1296007,1537121,1416051,1094765,804722
0.75,0.775,0.725,0.725,0.675,0.75,0.7,0.775,0.725,0.575,2051940,2279759,1962139,2220633,1981366,1891176,2107741,2076248,1800365,1266741
0.75,0.775,0.75,0.775,0.675,0.725,0.75,0.75,0.775,0.75,2456077,2617028,2291631,2533959,2558732,2349716,2480192,2509646,2253403,1929399
0.75,0.75,0.75,0.775,0.775,0.75,0.725,0.775,0.75,0.75,2628712,2795594,2439090,2649733,2784340,2549137,2603734,2672038,2461213,2512093
0.775,0.775,0.75,0.775,0.75,0.7,0.725,0.775,0.775,0.75,2702755,2892953,2534010,2695762,2872077,2650591,2632991,2752017,2528106,2762843
0.775,0.775,0.725,0.75,0.75,0.725,0.725,0.775,0.775,0.75,2688445,2912601,2591290,2692105,2898895,2697237,2604996,2788434,2544276,2845901
0.7,0.775,0.725,0.725,0.75,0.725,0.7,0.75,0.7,0.75,2657983,2915690,2576993,2679024,2890516,2697873,2580471,2722798,2557993,2873929
0.7,0.75,0.7,0.725,0.775,0.75,0.7,0.725,0.675,0.725,2636513,2878685,2534052,2663494,2885822,2647781,2529762,2693565,2539602,2861469
0.725,0.725,0.625,0.7,0.775,0.75,0.7,0.725,0.675,0.725,2600120,2839839,2420561,2590087,2855968,2639407,2484985,2664328,2530606,2818528
0.725,0.7,0.625,0.725,0.7,0.725,0.725,0.7,0.675,0.725,2564947,2710795,2375163,2483747,2818959,2527135,2447354,2605241,2501980,2796451
0.7,0.75,0.625,0.7,0.7,0.675,0.725,0.7,0.675,0.75,2530786,2682170,2308917,2407275,2757405,2322202,2403185,2525879,2481117,2636319
0.675,0.7,0.625,0.7,0.7,0.65,0.675,0.725,0.675,0.725,2503992,2647402,2257589,2358389,2758008,2245712,2346941,2496637,2423842,2549199
0.7,0.7,0.625,0.675,0.7,0.625,0.65,0.65,0.675,0.7,2484362,2574607,2212802,2355937,2743703,2328333,2357166,2479870,2427924,2473315
0.65,0.675,0.6,0.675,0.7,0.625,0.65,0.7,0.625,0.675,2422793,2568661,2175157,2271674,2692369,2359415,2344692,2473317,2392133,2533647
0.625,0.675,0.6,0.7,0.675,0.575,0.65,0.65,0.625,0.65,2462862,2561491,2081888,2293940,2693583,2200887,2347130,2405812,2385570,2506843
0.65,0.675,0.6,0.7,0.7,0.6,0.675,0.65,0.65,0.625,2479625,2569252,2151204,2314808,2656549,2236880,2382900,2412967,2447119,2477591
0.675,0.65,0.625,0.7,0.675,0.675,0.675,0.7,0.675,0.625,2507364,2610958,2096468,2260996,2695986,2252519,2446303,2363389,2479963,2453040
0.675,0.7,0.65,0.675,0.7,0.675,0.675,0.675,0.675,0.675,2640485,2623725,2258209,2218178,2775323,2420214,2512544,2362155,2498362,2430316
0.7,0.675,0.675,0.725,0.725,0.725,0.7,0.7,0.725,0.7,2950280,3142182,2713994,2580385,3048666,2896500,2803856,2677967,2756198,2546184
0.775,0.8,0.7,0.75,0.8,0.775,0.75,0.75,0.775,0.725,8568934,5986713,9102468,3599362,6189340,5971091,5968441,3178854,4258842,3204446
0.85,0.85,0.925,0.9,0.85,0.85,0.9,0.85,0.85,0.775,29036987,19328809,15282720,11672336,21130568,14617085,20305955,13682224,19524318,9341703
