agent,ann_tflops,pcn_tflops,ann_train_acc,ann_train_flops,ann_test_acc,ann_test_flops,pcn_train_acc,pcn_train_flops,pcn_test_acc,pcn_test_flops
0,99662256000,1826983738670,0.75375,1228448801,0.745,307112201,0.71,44348079718,0.685,10982236795
1,99662256000,1848388510845,0.77875,1228448801,0.775,307112201,0.735,46505216410,0.715,11757499744
2,99662256000,1840500811867,0.77,1228448801,0.77,307112201,0.71625,45682840853,0.74,11450137077
3,99662256000,1870301593764,0.7775,1228448801,0.78,307112201,0.7375,46167010769,0.74,11445337418
4,99662256000,1837683578914,0.74875,1228448801,0.765,307112201,0.71,46270180620,0.705,11340736610
5,99662256000,1825822467364,0.77375,1228448801,0.78,307112201,0.67625,44100031009,0.66,10855234920
6,99662256000,1833026551283,0.75875,1228448801,0.75,307112201,0.695,44119780462,0.65,11003048810
7,99662256000,1849237177842,0.7625,1228448801,0.76,307112201,0.71,45074152650,0.73,11139153827
8,99662256000,1821330971781,0.77875,1228448801,0.745,307112201,0.70625,43914996249,0.71,10964870740
9,99662256000,1848206993844,0.77875,1228448801,0.755,307112201,0.735,47011714169,0.725,11631312541
